User,Label,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
adithi,Genuine,0.188,0.696,0.508,0.186,0.497,0.311,0.166,1.015,0.849,0.171,0.543,0.372,0.191,1.192,1.001,1.949,0.502,-1.447,1.629,0.03,-1.599,2.312,0.03,-2.282,2.729,0.03,-2.699,3.374,0.03,-3.344,4.434,0.031,-4.403,-1755195803.224,0.029,1755195803.253,-1755195803.253,0.031,1755195803.284,-1755195803.284,0.031,1755195803.315,-1755195803.315,0.034,1755195803.349,-1755195803.349,0.033,1755195803.382,-1755195803.382,0.028,1755195803.41,-1755195803.41,0.031,1755195803.441,-1755195803.441,0.029,1755195803.47,-1755195803.47,0.03,1755195803.5,-1755195803.5,0.03,1755195803.53,-1755195803.53,0.031,1755195803.561,-1755195803.561,0.029,1755195803.59,-1755195803.59,0.031,1755195803.621,-1755195803.621,0.03,1755195803.651,-1755195803.651,0.03,1755195803.681,-1755195803.681,0.031,1755195803.712,-1755195803.712,0.029,1755195803.741,-1755195803.741,0.031,1755195803.772,-1755195803.772,0.029,1755195803.801,-1755195803.801,0.032,1755195803.833,-1755195803.833,0.029,1755195803.862,-1755195803.862,0.03,1755195803.892,-1755195803.892,0.03,1755195803.922,-1755195803.922,0.031,1755195803.953,-1755195803.953,0.03,1755195803.983,-1755195803.983,0.029,1755195804.012,-1755195804.012,0.031,1755195804.043,-1755195804.043,0.03,1755195804.073,-1755195804.073,0.03,1755195804.103,-1755195804.103,0.03,1755195804.133,-1755195804.133,0.031,1755195804.164,-1755195804.164,0.03,1755195804.194,-1755195804.194,0.03,1755195804.224,-1755195804.224,0.031,1755195804.255,-1755195804.255,0.032,1755195804.287,-1755195804.287,0.028,1755195804.315,-1755195804.315,0.03,1755195804.345,-1755195804.345,0.03,1755195804.375,-1755195804.375,0.015,1755195804.39,-1755195804.39,0.809,1755195805.199,-1755195805.199,0.443,1755195805.642,-1755195805.642,0.693,1755195806.335,-1755195806.335,1.086,1755195807.421,-1755195807.421
adithi,Genuine,0.201,0.594,0.393,0.201,0.422,0.221,0.197,0.406,0.209,0.141,0.499,0.358,0.135,0.386,0.251,0.624,0.503,-0.121,0.222,0.011,-0.211,0.642,0.494,-0.148,0.465,0.26,-0.205,1.025,0.854,-0.171,0.753,0.578,-0.175,-1755195821.737
adithi,Genuine,0.221,2.151,1.93,0.18,0.517,0.337,0.16,0.488,0.328,0.267,0.653,0.386,0.167,0.81,0.643,0.663,0.502,-0.161,0.292,0.005,-0.287,1.021,0.815,-0.206,0.648,0.422,-0.226,0.513,0.363,-0.15,0.587,0.396,-0.191,-1755195831.167
adithi,Genuine,0.166,0.708,0.542,0.167,0.388,0.221,0.171,0.402,0.231,0.155,0.503,0.348,0.14,0.327,0.187,0.553,0.416,-0.137,0.242,0.855,0.613,0.186,0.548,0.362,0.216,0.554,0.338,0.14,0.572,0.432,0.161
adithi,Genuine,0.171,0.598,0.427,0.181,0.313,0.132,0.205,0.421,0.216,0.161,0.468,0.307,0.161,0.292,0.131,0.452,0.303,-0.149,0.244,0.953,0.709,0.131,0.291,0.16,0.216,0.338,0.122,0.188,0.406,0.218,0.183
Zuha,Imposter,0.102,0.469,0.367,0.095,0.418,0.323,0.119,1.565,1.446,0.135,1.258,1.123,0.136,1.112,0.976,0.544,0.403,-0.141,0.172,1.58,1.408,0.107,0.402,0.295,0.122,0.258,0.136,0.058,0.442,0.384,0.086
Zuha,Imposter,0.082,0.706,0.624,0.149,0.354,0.205,0.094,0.332,0.238,0.09,1.214,1.124,0.997,1.357,0.36,0.101,1.235,1.134,0.61,0.509,-0.101,0.138,0.816,0.678,0.06,0.222,0.162,0.122,0.189,0.067,0.051,0.42,0.369,0.062
Zuha,Imposter,0.11,0.523,0.413,0.091,0.416,0.325,0.108,0.414,0.306,0.123,0.373,0.25,0.093,0.797,0.704,0.586,0.451,-0.135,0.168,0.846,0.678,0.098,0.21,0.112,0.13,0.258,0.128,0.047,0.368,0.321,0.063
Zuha,Imposter,0.075,0.571,0.496,0.072,0.428,0.356,0.109,0.761,0.652,0.129,0.722,0.593,0.091,0.239,0.148,0.473,0.346,-0.127,0.171,0.815,0.644,0.063,0.358,0.295,0.152,0.315,0.163,0.094,0.398,0.304,0.07
Zuha,Imposter,0.092,0.455,0.363,0.102,0.574,0.472,0.076,0.52,0.444,0.091,0.418,0.327,0.092,0.225,0.133,0.231,1.396,1.165,0.422,0.3,-0.122,0.152,1.425,1.273,0.102,0.231,0.129,0.16,0.54,0.38,0.076,0.315,0.239,0.061
Zuha,Imposter,0.09,0.495,0.405,0.085,0.42,0.335,0.084,0.606,0.522,0.098,0.423,0.325,0.088,0.247,0.159,0.786,0.63,-0.156,0.187,0.783,0.596,0.087,0.282,0.195,0.158,0.267,0.109,0.079,0.353,0.274,0.086
Zuha,Imposter,0.103,0.519,0.416,0.1,0.37,0.27,0.119,0.51,0.391,0.144,0.631,0.487,0.075,0.392,0.317,0.423,0.281,-0.142,0.193,0.674,0.481,0.08,0.257,0.177,0.174,0.273,0.099,0.066,0.355,0.289,0.064
Zuha,Imposter,0.084,0.462,0.378,0.088,0.475,0.387,0.071,0.481,0.41,0.114,4.482,4.368,0.136,0.663,0.527,0.492,0.337,-0.155,0.207,0.906,0.699,0.1,0.421,0.321,0.198,0.527,0.329,0.07,0.463,0.393,0.059
Zuha,Imposter,0.111,0.464,0.353,0.081,0.446,0.365,0.117,0.464,0.347,0.131,0.52,0.389,0.1,0.278,0.178,0.378,0.249,-0.129,0.171,0.624,0.453,0.107,0.284,0.177,0.154,0.225,0.071,0.095,0.366,0.271,0.058
Zuha,Imposter,0.094,0.393,0.299,0.11,0.395,0.285,0.088,0.57,0.482,0.098,0.609,0.511,0.088,0.32,0.232,0.437,0.316,-0.121,0.133,0.697,0.564,0.088,0.263,0.175,0.147,0.32,0.173,0.077,0.365,0.288,0.07
Zuha,Imposter,0.081,0.476,0.395,0.102,0.408,0.306,0.081,0.468,0.387,0.19,0.761,0.571,0.108,0.262,0.154,0.411,0.307,-0.104,0.108,0.628,0.52,0.094,0.284,0.19,0.145,0.287,0.142,0.078,0.438,0.36,0.103
Zuha,Imposter,0.082,0.931,0.849,0.078,0.376,0.298,0.084,0.453,0.369,0.109,0.457,0.348,0.07,0.349,0.279,0.501,0.387,-0.114,0.149,0.567,0.418,0.104,0.331,0.227,0.19,0.274,0.084,0.088,0.415,0.327,0.079
Zuha,Imposter,0.073,0.426,0.353,0.072,0.433,0.361,0.088,0.478,0.39,0.088,0.552,0.464,0.089,0.276,0.187,0.474,0.368,-0.106,0.128,0.483,0.355,0.08,0.284,0.204,0.137,0.25,0.113,0.097,0.39,0.293,0.054
Zuha,Imposter,0.082,0.509,0.427,0.095,0.404,0.309,0.079,0.499,0.42,0.08,0.347,0.267,0.077,0.321,0.244,0.411,0.291,-0.12,0.136,0.558,0.422,0.108,0.333,0.225,0.137,0.285,0.148,0.093,0.367,0.274,0.053
Zuha,Imposter,0.076,0.444,0.368,0.098,0.46,0.362,0.095,0.503,0.408,0.105,0.527,0.422,0.078,0.292,0.214,0.373,0.26,-0.113,0.146,0.493,0.347,0.102,0.315,0.213,0.18,0.303,0.123,0.102,0.39,0.288,0.092
Zuha,Imposter,0.089,0.451,0.362,0.088,0.436,0.348,0.102,0.434,0.332,0.098,0.585,0.487,0.07,0.212,0.142,0.479,0.356,-0.123,0.176,0.577,0.401,0.099,0.265,0.166,0.151,0.858,0.707,0.115,2.009,1.894,0.085
Zuha,Imposter,0.128,0.415,0.287,0.095,0.349,0.254,0.089,0.418,0.329,0.108,0.321,0.213,0.084,0.229,0.145,0.418,0.268,-0.15,0.223,0.588,0.365,0.097,0.274,0.177,0.159,0.372,0.213,0.077,0.35,0.273,0.067
Zuha,Imposter,0.082,0.493,0.411,0.104,0.341,0.237,0.102,0.415,0.313,0.101,0.436,0.335,0.092,0.222,0.13,0.441,0.289,-0.152,0.37,0.652,0.282,0.091,0.297,0.206,0.172,0.262,0.09,0.092,0.308,0.216,0.077
Zuha,Imposter,0.08,0.39,0.31,0.095,0.361,0.266,0.074,0.384,0.31,0.099,0.616,0.517,0.071,0.22,0.149,0.48,0.358,-0.122,0.296,0.523,0.227,0.088,0.254,0.166,0.167,0.238,0.071,0.079,0.273,0.194,0.087
Zuha,Imposter,0.095,0.479,0.384,0.106,0.445,0.339,0.078,0.41,0.332,0.096,0.8,0.704,0.107,0.264,0.157,0.429,0.283,-0.146,0.195,0.533,0.338,0.098,0.225,0.127,0.128,0.248,0.12,0.101,0.385,0.284,0.108
Sneha,Imposter,0.084,1.115,1.031,0.064,0.625,0.561,0.078,0.835,0.757,0.117,3.058,2.941,0.1,0.639,0.539,0.396,0.289,-0.107,0.159,1.897,1.738,0.129,0.192,0.063,0.25,0.21,-0.04,0.11,0.452,0.342,0.076
Sneha,Imposter,0.107,0.678,0.571,0.095,0.489,0.394,0.136,0.356,0.22,0.153,1.553,1.4,0.094,2.216,2.122,1.539,1.429,-0.11,0.287,1.317,1.03,0.128,0.303,0.175,0.187,0.297,0.11,0.085,0.654,0.569,0.082
Sneha,Imposter,0.115,0.605,0.49,0.109,0.472,0.363,0.097,0.563,0.466,0.102,1.844,1.742,0.097,0.645,0.548,0.218,0.124,-0.094,0.112,1.408,1.296,0.114,0.296,0.182,0.194,0.269,0.075,0.128,0.43,0.302,0.096
Sneha,Imposter,0.127,0.988,0.861,0.101,0.518,0.417,0.11,0.493,0.383,0.131,0.617,0.486,0.101,1.998,1.897,0.343,0.237,-0.106,0.14,2.016,1.876,0.118,0.174,0.056,0.21,0.326,0.116,0.109,0.39,0.281,0.116
Sneha,Imposter,0.119,0.537,0.418,0.088,0.418,0.33,0.103,0.448,0.345,0.133,1.811,1.678,0.094,1.88,1.786,0.316,0.195,-0.121,0.126,1.547,1.421,0.124,0.341,0.217,0.181,0.219,0.038,0.13,0.388,0.258,0.101
Sneha,Imposter,0.109,0.515,0.406,0.109,0.48,0.371,0.12,0.225,0.105,0.168,0.413,0.245,0.145,1.136,0.991,0.574,0.473,-0.101,0.139,1.31,1.171,0.132,0.329,0.197,0.188,0.237,0.049,0.101,0.374,0.273,0.129
Sneha,Imposter,0.103,0.521,0.418,0.087,0.446,0.359,0.102,0.32,0.218,0.11,0.567,0.457,0.104,0.871,0.767,0.292,0.159,-0.133,0.137,1.75,1.613,0.129,0.229,0.1,0.223,0.238,0.015,0.107,0.641,0.534,0.096
Sneha,Imposter,0.125,0.541,0.416,0.089,0.552,0.463,0.123,0.245,0.122,0.139,0.979,0.84,0.112,0.461,0.349,0.36,0.26,-0.1,0.121,1.391,1.27,0.15,0.311,0.161,0.223,0.257,0.034,0.103,0.352,0.249,0.093
Sneha,Imposter,0.117,0.607,0.49,0.1,0.479,0.379,0.15,0.225,0.075,0.139,0.443,0.304,0.115,0.469,0.354,0.308,0.179,-0.129,0.149,1.583,1.434,0.113,0.22,0.107,0.268,0.252,-0.016,0.076,0.55,0.474,0.072
Sneha,Imposter,0.155,0.657,0.502,0.095,0.557,0.462,0.109,0.389,0.28,0.116,0.438,0.322,0.103,0.517,0.414,0.299,0.259,-0.04,0.103,1.533,1.43,0.118,0.327,0.209,0.21,0.229,0.019,0.14,0.318,0.178,0.126
Sneha,Imposter,0.137,0.564,0.427,0.093,0.43,0.337,0.142,0.382,0.24,0.133,0.424,0.291,0.099,0.454,0.355,0.449,0.32,-0.129,0.179,1.658,1.479,0.111,0.26,0.149,0.197,0.242,0.045,0.089,0.303,0.214,0.104
Sneha,Imposter,0.11,0.79,0.68,0.082,0.716,0.634,0.145,0.234,0.089,0.089,1.05,0.961,0.082,0.571,0.489,0.266,0.173,-0.093,0.112,1.312,1.2,0.141,0.282,0.141,0.15,0.322,0.172,0.084,0.412,0.328,0.098
Sneha,Imposter,0.107,0.523,0.416,0.081,0.471,0.39,0.107,0.263,0.156,0.109,0.389,0.28,0.094,0.391,0.297,0.383,0.265,-0.118,0.149,1.479,1.33,0.11,0.251,0.141,0.227,0.196,-0.031,0.106,0.343,0.237,0.082
Sneha,Imposter,0.126,1.079,0.953,0.082,0.813,0.731,0.139,0.365,0.226,0.149,1.06,0.911,0.071,0.339,0.268,0.328,0.231,-0.097,0.163,1.739,1.576,0.129,0.233,0.104,0.231,0.234,0.003,0.11,0.406,0.296,0.148
Sneha,Imposter,0.149,1.096,0.947,0.094,0.699,0.605,0.155,0.346,0.191,0.141,0.426,0.285,0.122,0.42,0.298,0.272,0.196,-0.076,0.114,1.327,1.213,0.114,0.273,0.159,0.205,0.245,0.04,0.136,0.272,0.136,0.123
Sneha,Imposter,0.139,0.54,0.401,0.102,0.563,0.461,0.098,0.313,0.215,0.139,0.385,0.246,0.117,0.394,0.277,0.279,0.183,-0.096,0.101,1.888,1.787,0.115,1.003,0.888,0.188,0.402,0.214,0.142,0.457,0.315,0.115
